1	300
Abel_Pacheco	1	4
Akhmed_Zakayev	1	3
Akhmed_Zakayev	2	3
Amber_Tamblyn	1	2
Anders_Fogh_Rasmussen	1	3
Anders_Fogh_Rasmussen	1	4
Angela_Bassett	1	5
Angela_Bassett	2	5
Angela_Bassett	3	4
Ann_Veneman	3	5
Ann_Veneman	6	10
Ann_Veneman	10	11
Anthony_Fauci	1	2
Antony_Leung	1	2
Antony_Leung	2	3
Anwar_Ibrahim	1	2
Augusto_Pinochet	1	2
Barbara_Brezigar	1	2
Benjamin_Netanyahu	1	4
Benjamin_Netanyahu	4	5
Bernard_Law	2	3
Bernard_Law	3	4
Bertrand_Bonello	1	2
Bill_Frist	2	9
Bill_Frist	4	5
Bob_Graham	2	4
Bob_Graham	3	6
Bob_Graham	4	6
Bob_Graham	5	6
Boris_Becker	2	6
Brad_Johnson	1	3
Brad_Johnson	2	3
Brad_Johnson	2	4
Brian_Griese	1	2
Candice_Bergen	1	2
Candice_Bergen	2	3
Carla_Myers	1	2
Cathy_Freeman	1	2
Chang_Dae-whan	1	2
Charles_Grassley	1	2
Clare_Short	1	3
Clare_Short	1	4
Corinne_Coman	1	2
Dai_Bachtiar	1	2
Dale_Earnhardt_Jr	1	3
David_Caruso	1	2
Demi_Moore	1	3
Dick_Vermeil	1	2
Doris_Roberts	1	2
Doris_Roberts	1	3
Drew_Barrymore	1	2
Edmund_Stoiber	4	7
Edmund_Stoiber	5	7
Edmund_Stoiber	7	12
Edmund_Stoiber	9	11
Elinor_Caplan	1	2
Emmanuelle_Beart	1	2
Emmanuelle_Beart	1	3
Federico_Trillo	1	2
Federico_Trillo	1	3
Federico_Trillo	2	3
Francis_Ford_Coppola	1	2
Fred_Thompson	1	2
Fred_Thompson	1	3
Fred_Thompson	2	3
Garry_Trudeau	1	2
Gary_Williams	1	2
Gene_Robinson	1	2
Gene_Robinson	1	3
Gene_Robinson	2	3
George_Galloway	1	3
George_Galloway	2	3
George_Galloway	2	4
Geraldine_Chaplin	1	2
Geraldine_Chaplin	1	4
Geraldine_Chaplin	3	4
Gerardo_Gambala	1	2
Gian_Marco	1	2
Gian_Marco	2	3
Gillian_Anderson	1	2
Gordon_Brown	6	9
Gordon_Brown	10	13
Grant_Hackett	1	2
Grant_Hackett	1	3
Grant_Hackett	1	5
Gray_Davis	7	22
Gray_Davis	21	26
Gregg_Popovich	1	5
Gregg_Popovich	3	4
Guy_Ritchie	1	2
Hamzah_Haz	1	2
Harbhajan_Singh	1	2
Hootie_Johnson	1	2
Hugo_Chavez	2	27
Hugo_Chavez	27	53
Hugo_Chavez	36	51
Hugo_Chavez	41	50
Hugo_Chavez	45	56
Isaiah_Washington	1	2
Jack_Grubman	1	2
Jacques_Rogge	1	9
Jacques_Rogge	3	7
Jacques_Rogge	3	10
Jacques_Rogge	4	6
Jacques_Rogge	4	9
Jacques_Rogge	5	8
Jacques_Rogge	6	8
James_Caan	1	2
James_Caan	1	3
James_Caan	2	3
James_Jones	1	2
Jamling_Norgay	1	2
Janica_Kostelic	1	2
Jeanne_Moreau	1	2
Jeffrey_Archer	1	2
Jennifer_Garner	1	3
Jennifer_Garner	4	9
Jennifer_Garner	5	6
Jennifer_Garner	5	9
Jennifer_Garner	7	12
Jennifer_Garner	8	11
Jeremy_Greenstock	2	24
Jeremy_Greenstock	3	22
Jeremy_Greenstock	5	11
Jeremy_Greenstock	10	14
Jeremy_Greenstock	17	21
Jessica_Lange	1	2
Jimmy_Carter	1	7
Jimmy_Carter	4	6
Jimmy_Carter	5	8
Jimmy_Carter	6	7
Jodie_Foster	1	2
John_Manley	1	6
John_Manley	2	5
John_McCain	2	3
John_McCain	3	7
John_McCain	6	7
John_Snow	3	15
John_Snow	4	16
John_Snow	9	11
Johnson_Panjaitan	1	2
Jorge_Castaneda	1	2
Jose_Serra	1	9
Jose_Serra	2	8
Jose_Serra	3	5
Jose_Serra	3	7
Jose_Serra	6	9
Jose_Theodore	1	2
Joseph_Blatter	1	2
Joseph_Ralston	1	2
Juan_Pablo_Montoya	1	8
Juan_Pablo_Montoya	2	4
Juan_Pablo_Montoya	4	5
Julianna_Margulies	1	2
Justin_Guarini	1	2
Justin_Guarini	2	3
Justine_Henin	2	3
Kate_Winslet	1	2
Kate_Winslet	1	4
Kate_Winslet	2	3
Kate_Winslet	2	4
Kathy_Winters	1	2
Kelvin_Sampson	1	2
Kevin_Stallings	1	2
Kim_Jong-Il	2	3
Kristin_Davis	1	2
Kristin_Davis	2	3
Lance_Armstrong	1	17
Lance_Armstrong	5	10
Lance_Armstrong	7	11
Lance_Armstrong	10	18
Lance_Armstrong	14	17
Laurent_Jalabert	1	2
Lindsey_Graham	1	2
